{'loss': '-0.1294', 'grad_norm': '2.026', 'learning_rate': '4.917e-06', 'num_tokens': '3.292e+05', 'completions/mean_length': '6.1', 'completions/min_length': '4.4', 'completions/max_length': '7.2', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.1', 'completions/min_terminated_length': '4.4', 'completions/max_terminated_length': '7.2', 'rewards/reward_func/mean': '0.35', 'rewards/reward_func/std': '1.168', 'reward': '0.35', 'reward_std': '1.168', 'frac_reward_zero_std': '0', 'entropy': '0.2835', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.716', 'epoch': '0.01502'}
{'loss': '-0.166', 'grad_norm': '2.19', 'learning_rate': '5.333e-06', 'num_tokens': '3.594e+05', 'completions/mean_length': '9.6', 'completions/min_length': '4.6', 'completions/max_length': '14', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '9.6', 'completions/min_terminated_length': '4.6', 'completions/max_terminated_length': '14', 'rewards/reward_func/mean': '-0.4627', 'rewards/reward_func/std': '0.4229', 'reward': '-0.4627', 'reward_std': '0.4229', 'frac_reward_zero_std': '0.2', 'entropy': '0.2794', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '4.161', 'epoch': '0.01627'}
{'loss': '-0.07289', 'grad_norm': '0', 'learning_rate': '5.75e-06', 'num_tokens': '3.877e+05', 'completions/mean_length': '6', 'completions/min_length': '5.2', 'completions/max_length': '6.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6', 'completions/min_terminated_length': '5.2', 'completions/max_terminated_length': '6.6', 'rewards/reward_func/mean': '0.32', 'rewards/reward_func/std': '0.694', 'reward': '0.32', 'reward_std': '0.694', 'frac_reward_zero_std': '0.4', 'entropy': '0.2455', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.815', 'epoch': '0.01752'}
{'loss': '-0.06025', 'grad_norm': '5.119', 'learning_rate': '6.167e-06', 'num_tokens': '4.161e+05', 'completions/mean_length': '6.6', 'completions/min_length': '5.2', 'completions/max_length': '8.2', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.6', 'completions/min_terminated_length': '5.2', 'completions/max_terminated_length': '8.2', 'rewards/reward_func/mean': '-0.16', 'rewards/reward_func/std': '0.8922', 'reward': '-0.16', 'reward_std': '0.8922', 'frac_reward_zero_std': '0', 'entropy': '0.2121', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.977', 'epoch': '0.01877'}
{'loss': '-0.1042', 'grad_norm': '0', 'learning_rate': '6.583e-06', 'num_tokens': '4.429e+05', 'completions/mean_length': '5.45', 'completions/min_length': '4.2', 'completions/max_length': '6.8', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '5.45', 'completions/min_terminated_length': '4.2', 'completions/max_terminated_length': '6.8', 'rewards/reward_func/mean': '-0.09', 'rewards/reward_func/std': '0.46', 'reward': '-0.09', 'reward_std': '0.46', 'frac_reward_zero_std': '0.4', 'entropy': '0.3344', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.683', 'epoch': '0.02003'}
{'loss': '-0.09936', 'grad_norm': '6.045', 'learning_rate': '7e-06', 'num_tokens': '4.697e+05', 'completions/mean_length': '6.15', 'completions/min_length': '4.2', 'completions/max_length': '7.4', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.15', 'completions/min_terminated_length': '4.2', 'completions/max_terminated_length': '7.4', 'rewards/reward_func/mean': '0.12', 'rewards/reward_func/std': '0.7852', 'reward': '0.12', 'reward_std': '0.7852', 'frac_reward_zero_std': '0.2', 'entropy': '0.28', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.759', 'epoch': '0.02128'}
{'loss': '-0.02376', 'grad_norm': '3.444', 'learning_rate': '7.417e-06', 'num_tokens': '4.975e+05', 'completions/mean_length': '6.4', 'completions/min_length': '5.4', 'completions/max_length': '7.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.4', 'completions/min_terminated_length': '5.4', 'completions/max_terminated_length': '7.6', 'rewards/reward_func/mean': '-0.39', 'rewards/reward_func/std': '0.66', 'reward': '-0.39', 'reward_std': '0.66', 'frac_reward_zero_std': '0.2', 'entropy': '0.255', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.701', 'epoch': '0.02253'}
{'loss': '-0.03989', 'grad_norm': '2.15', 'learning_rate': '7.833e-06', 'num_tokens': '5.252e+05', 'completions/mean_length': '7.1', 'completions/min_length': '6.4', 'completions/max_length': '8.2', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '7.1', 'completions/min_terminated_length': '6.4', 'completions/max_terminated_length': '8.2', 'rewards/reward_func/mean': '0.1675', 'rewards/reward_func/std': '0.6669', 'reward': '0.1675', 'reward_std': '0.6669', 'frac_reward_zero_std': '0.2', 'entropy': '0.212', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.797', 'epoch': '0.02378'}
{'loss': '-0.06975', 'grad_norm': '0', 'learning_rate': '8.25e-06', 'num_tokens': '5.529e+05', 'completions/mean_length': '7.3', 'completions/min_length': '5.8', 'completions/max_length': '8', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '7.3', 'completions/min_terminated_length': '5.8', 'completions/max_terminated_length': '8', 'rewards/reward_func/mean': '0.205', 'rewards/reward_func/std': '0.6609', 'reward': '0.205', 'reward_std': '0.6609', 'frac_reward_zero_std': '0.2', 'entropy': '0.1948', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.647', 'epoch': '0.02503'}
{'eval_loss': '-0.05176', 'eval_runtime': '1328', 'eval_samples_per_second': '0.372', 'eval_steps_per_second': '0.047', 'eval_num_tokens': '5.529e+05', 'eval_completions/mean_length': '6.793', 'eval_completions/min_length': '4.895', 'eval_completions/max_length': '8.939', 'eval_completions/clipped_ratio': '0.001012', 'eval_completions/mean_terminated_length': '6.735', 'eval_completions/min_terminated_length': '4.895', 'eval_completions/max_terminated_length': '8.494', 'eval_rewards/reward_func/mean': '0.01521', 'eval_rewards/reward_func/std': '0.8652', 'eval_reward': '0.01521', 'eval_reward_std': '0.8652', 'eval_frac_reward_zero_std': '0.3907', 'eval_entropy': '0.1833', 'eval_clip_ratio/low_mean': '0', 'eval_clip_ratio/low_min': '0', 'eval_clip_ratio/high_mean': '0', 'eval_clip_ratio/high_max': '0', 'eval_clip_ratio/region_mean': '0', 'epoch': '0.02503'}
{'loss': '-0.05793', 'grad_norm': '0', 'learning_rate': '8.667e-06', 'num_tokens': '5.783e+05', 'completions/mean_length': '6.4', 'completions/min_length': '5.8', 'completions/max_length': '7', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.4', 'completions/min_terminated_length': '5.8', 'completions/max_terminated_length': '7', 'rewards/reward_func/mean': '0.56', 'rewards/reward_func/std': '0.4275', 'reward': '0.56', 'reward_std': '0.4275', 'frac_reward_zero_std': '0.6', 'entropy': '0.1803', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.515', 'epoch': '0.02628'}
